fans	verifyName	actorId	preferredName	actorDesc
4	成小贝	1927978635	Joss成小贝	新晋男演员 歌手 平面模特 代表作《尜尜貅》《纨绔少年》等, 
4	陈诺	2787889402	演员陈诺	首部关注城市留守儿童公益微电影《空巢》主演、新濠传媒签约艺人, 
4	杨干龙	2306198207	杨干龙yql	横店影视城演员公会青年演员 参演作品：《英雄使命》, 
4	任雪	1619766401	任雪candy	北京人艺演员, 
4	侬未至	1628793055	侬未至	青年演员 作品《摘星之旅》《 一起来看流星雨》, 
4	朱龙广	1334090312	朱龙广	演员，曾主演《地道战》, 
5	林显源	1593724557	林显源	戏曲演员、编导，厦门大学博士生。, 
5	米琪	2992374694	Dear-米琪	演员 作品：《四大名捕》《狄仁杰前传》, 
5	胡琼	1812666060	VicKy胡琼	2009年安徽卫视ok王争霸赛季军 演员 歌手  胡琼, 
5	廖伟琪	1584345361	廖伟琪LINDA	演员廖伟琪,香港TVB艺人, 
5	吴琼	1792272283	糖甜闹闹	福建省歌舞剧院演员 吴琼, 
5	庞希贤	2798551207	庞希贤	华诚传媒签约艺人, 
5	胡伶	2989258984	演员胡伶	 艳阳东方（北京）广告传媒有限公司 演员、模特, 
5	王君益	1658125071	Wang_君益	音乐剧、影视剧演员，代表作 《断桥》《昨日书》, 
5	李红	2037303965	芒果红胖子	李红 湖南电视台影视频道首席主持人 湖南著名笑星 演员 曾出演过《丑女无敌》、新《三国》等影视剧, 
5	王武力	2762067897	AC王武力	知名经纪 媒体策划 副导演 艺人 代表作《如果没有如果》, 
5	木热地力	2614136963	木热地力	China童星网签约艺人 木热地力, 
5	李宜娟	2096721977
5	云杨	2156479275	云杨_Scorpio	大庆歌舞剧院演员，舞剧《鹤鸣湖》主演, 
5	渡边刚	1760889533	渡边刚Takeshi	渡边刚，日本男演员。, 
5	闵稞莹	1890013180	闵稞莹	北京启舟影视文化传媒有限公司  签约艺人, 
5	曾锦夏	2696254433	曾锦夏Alex	北京世纪星汇文化传媒有限公司成都分公司艺人部艺人, 
5	叶志米	1880652517	叶志米	台湾知名艺人演唱会专属DANCER及编舞老师叶志米, 
5	袁梦	1346268757	袁梦LILKMI四天王	演员 歌手 袁梦lilkmi, 
5	陈怡川	1955066013	陈怡川	知名艺人陈怡川, 
5	Q熊妹妹	1677747682	童星Q熊妹妹	陕西大洋文化传媒有限责任公司 歌手 演员, 
5	古亚鹏	1933322013	古亚鹏	海宁东旭影视传播有限公司签约艺人 2013快乐男声河南十强, 
5	罗云	1376672547	罗云L	电影人/演员 罗云  作品：《吃亏是福》, 
5	刘怡君	3652517362	刘怡君June	影视演员及歌手，代表作品《少年包青天》《大汉天子》《双响炮》, 
5	徐淑媛	1896355795	淡出的徐淑媛	台湾80年代当红名模、演员, 
5	花臂	2622020993	花臂lc	新动娱乐签约音乐人、艺人, 
5	吴世晖	1747509080	吴世晖	星光国际签约艺人歌手吴世晖, 
5	朱振豪	2166588493	Evan朱振豪	演员 歌手 2009雪碧《绝对唱响名师高徒》全国十一强, 
5	陈荣森	2091218615	陈荣森-森哥	中国曲艺家协会会员，影视演员，中华文化促进会会员, 
5	周蓉	1748222065	周蓉Eva	演员、模特周蓉, 
5	董杨洋	1922511065	董杨洋-Suri	演员董杨洋  代表作电视剧《幸福幸福不一样》, 
5	宗驰宇	1800560591	宗驰宇SuperYu	深圳诺亚金视文化传媒有限公司 演艺经纪中心艺人宗驰宇,  
5	池珍熙	2746957121
5	陈恩峰	1868305614	陈恩峰	台湾演员，模特，主持人, 
5	姚远	1889437173	姚远vip	凤潇文化签约演员，代表作电视剧《妈祖》, 
5	孙朴乔	1584405845	孙朴乔	演员、主持人、模特, 
5	刘定宇	2627951073	刘-定宇	演员、原皮划艇运动员, 
5	程可儿	3132023307	程可儿MagicGirl	北京时代星光文化艺术有限公司艺人, 
5	李潇	1215712414	李潇superlx	演员，出演话剧《一仆二主》等, 
5	聂赛	1633686310	聂小赛	湖南卫视快乐购签约艺人 聂赛, 
5	李倩	1884660924	李倩Lucky	 上海久尚广告传播有限公司 模特艺人
5	陈亚欧	1316678733	陈亚欧	演员，话剧《当咖啡遇到电视》男主角, 
5	初瑞雪	1830015445	初家小雪	演员初瑞雪, 
5	陆靓渊	1169018633	陆小乱在卖声	北京冰峰娱乐有限公司歌手、演员陆靓渊, 
